Judul,Penulis,Abstrak,SDGs
Implementing principal component analysis and multinomial logit for cancer detection based on microarray data classification,"[{""Penulis"":""Khoirunnisa, Azka""},{""Penulis"":""Adiwijaya""},{""Penulis"":""Rohmawati, Aniq A.""}]","Cancer is the second largest cause of death in the world; in 2018, a total of 9.6 million mortalities were recorder, due to cancer alone. It is important to detect this deadly disease early. In the medical field, there are many methods that can be used to detect cancer. One of these methods is microarray data technology. Microarray data reads thousands of gene expressions at the same time. However, this method has a major problem; data with high dimensions can affect classification performance and consume a lot of computational time. Therefore, this research used Principal Component Analysis as the dimensional reduction method. This method performed feature extraction based on a Principal Component (PC) obtained from the calculation of eigenvalues and eigenvectors. Moreover, the data reduction was implemented using a Multinomial Logit Classifier by modifying the parameters estimator using Maximum Likelihood Estimation. The cancer data used in this research consists of Colon Cancer, Leukemia, Lung Cancer, and Ovarian Cancer datasets. The test results for the Ovarian Cancer dataset gave an accuracy of 100% using a Proportion of Variance (PPV) of 90%. © 2019 IEEE.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Single Speaker Recognition Using Deep Belief Network Gender Classification Voices,"[{""Penulis"":""Prasetio, Murman Dwi""},{""Penulis"":""Sekizaki, Shinya""},{""Penulis"":""Hayashida, Tomohiro""},{""Penulis"":""Susanto, Agus""},{""Penulis"":""Nishisaki, Ichiro""},{""Penulis"":""Abdillah, Muhammad""}]","Recently, the algorithm of machine learning are used to able to train, enhance, characterize and anticipate the data results accurately. In a way to training, the process on the algorithm can be able to produce an appropriate model based on that data; it's like supervised and unsupervised data. In this paper, we tried to trace the gender (male and female) from acoustic data i.e., pitch, median, frequency etc. The gender that would like to implement is classified on the basis of the intensity of their utterances. To analyze the utterances, the voice intensity measuring by the hamming window to make a normalize curve to obtain the peaks of the utterances where peaks are found from each frame of speech utterance when it is divided into frames of the length of 20 milliseconds. At certain amplitude levels it can be considered to find a peak. As well as making decisions about gender use a thresholds that are adapted are adjusted. If the area of an utterance is above the threshold the gender type is a female otherwise male. After that, we handle the feature learning from the utterance into deep belief network as a machine learning tool to predict single speech by gender classification voices with optimization (taboo search) to train several neurons in the initial weight vector for the accuracy of female and male voices 75.67% and 80.83% precisely.  © 2019 IEEE.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Techno-economics study of spectrum sharing for mobile network operator in rural area: Study Case: Multi-Operator Core Network (MOCN) Band 1800 MHz,"[{""Penulis"":""Hafiza, Lia""},{""Penulis"":""Reza, Muhamad""},{""Penulis"":""Mufti Adriansyah, Nachwan""},{""Penulis"":""Denny Setiawan, Ir.""}]","Telecommunication is a sector regulated by the State because it uses limited natural resources namely frequency and to ensure the right of everyone to be able to communicate and obtain information in accordance with the constitution. In the other hand, the telecommunication industry which is predicted will decline in the future and needs to take precautions, there are two things that become solution; saving and entering new businesses. The solution discussed in this study is savings. More than 60% of Mobile Network Operators (MNO) in the world use Radio Access Network Sharing (RAN Sharing) to make savings. The type of RAN Sharing used in this study is the Multi-Operator Core Network (MOCN) that shared up to the frequency spectrum, and it can also be a solution to the scarcity of the spectrum, saving operator's expenses, accelerating network deployment to the regions and impacting on GDP in Indonesia. In this study, there are three aspects that will be discussed; technical, economic and legal aspects. In technical aspect, rural area use coverage dimensioning to determine the needs of telecommunication infrastructures. In the economic aspect, the calculation uses Net Present Value (NPV) which is analyzed using the Game Theory approach. For the legal aspect, several regulations in Indonesia related to spectrum sharing are explained to see the possibility of how this sharing can be implemented in Indonesia. Based on this research, sharing using MOCN may providing savings in rural areas and can affect competition between operators if only done by two competitors. In addition, in terms of regulations, this implementation is possible while obtaining ministerial permits but needs further study because there is a potential change in competition and double charge of usage rights fees (BHP).  © 2019 IEEE.","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
A review of the generic end-user adoption of e-government services,"[{""Penulis"":""Jacob, Deden Witarsyah""},{""Penulis"":""Fudzee, Mohd Farhan Md""},{""Penulis"":""Salamat, Mohamad Aizi""},{""Penulis"":""Herawan, Tutut""}]","E-government projects provide many advantages and offer benefits to governments and their citizens. Hence, the big issue and challenge for governments are how they can increase citizen adoption. This has resulted in the development of many e-government initiatives that aim to enhance the provision of public services to citizens and improve associations with industry and world business. It is shown that there are critical success factors and barriers in e-government adoption, and technology adoption more generally, which identifies the fact that current e-government adoption models do not adequately explain the needs of citizens. Based on the diagrammatic of a detailed structure of review methodology, existing studies show that national culture, trust, the information system success model, and knowledge services are very crucial issues for citizens regarding new system application in the successful uptake of e-government services. Therefore, this article presents a review of the generic end-user adoption of e-government services based on a theoretical perspective and the Unified Theory of Acceptance and Use Technology model. Furthermore, this article presents a conceptual model as a better foundation for the development of e-government. The findings of this article will contribute to the limited e-government adoption literature available by providing insights into end users’ perceptions of e-government services. © The Author(s) 2019.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Designing Green Warehouse Systems Based on Enterprise Resource Planning for the Leather Tanning Industry,"[{""Penulis"":""Rahayu, Sri""},{""Penulis"":""Ridwan, Ari Yanuar""},{""Penulis"":""Saputra, Muhardi""}]","The leather tanning industry in Indonesia produces finished leather products (sheeps, goats, and cows leather) for use as clothing, gloves, and other leather crafts. There are quite several companies involved in the leather industry, especially in Garut which is very influential in exporting goods abroad. Community awareness on the environment and the existence of international standardization in the form of environmentally friendly certification for an industry is a reason for companies in the leather industry that do not have such certification to pay more attention to the environmental aspects of activities carried out in the company, to meet international standards and obtain environmentally friendly certificates so that can compete with foreign industries. Moreover, the activities carried out in the leather industry are related to chemicals and produce waste that is harmful to the environment. In achieving international standardization, there is a need for a system to monitor the company's business processes to be friendly to the environment. Currently monitoring the company's supply chain such as the process of receiving goods from the procurement to the warehouse, the process of goods going out of the warehouse to be sent by the sales to the customer, and picking in the warehouse after receiving finished goods from the production section is still done manually and not all parts use the system. This causes several problems, including data that is not realtime and the business processes of each part of the company, cannot be integrated and are not properly monitored. This problem can be minimized by the existence of a system that can monitor and integrate the company's business processes by environmentally friendly standards. This research focuses on planning and developing systems in the warehouse section carried out by applying the green warehouse concept based on Enterprise Resource Planning (ERP). The purpose of this concept is to design information systems in monitoring activities and management of goods in the warehouse that pay attention to environmentally friendly aspects. The implementation of this green warehouse system is carried out starting from the project preparation stage, then the business blueprint, realization, and final preparation without going live. The results of this study are configuration and design customization of green warehouse systems integrated with green procurement, green production, and green sales systems using open source applications that can solve problems in the company and pay attention to environmentally friendly aspects. © 2019 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
Exploring relationship between headline news sentiment and stock return,"[{""Penulis"":""Alamsyah, Andry""},{""Penulis"":""Ayu, Siska Prasetya""},{""Penulis"":""Rikumahu, Brady""}]","Information from news is an integral part of investment activity. Such information is widely available from online media platforms, in which we can obtain relatively easy thanks to the development of technology. Despite predicting future stock prices being a hard challenge, the availability of big data is able to support investment decisions. Any relevant news is deemed as a determinant factor for influencing the public decision making. The Efficient Market Hypothesis states that financial markets depend on the availability of information. Sentiment analysis act as assisting tool to support the sentiment classification process, which falls into positive or negative categories. The process uses Naïve Bayes and Support Vector Machine method. We conduct the research to see the relationship of headlines news from 20 companies listed in the Indonesia LQ45 index (February 2013-August 2018) and stock returns. This study is carried out by Spearman rank correlation in looking at the relationship between stock returns and headline news. The findings of the study indicates that there is a correlation between headline news and stock return. © 2019 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
A survey of in-flight connectivity implementation in Indonesia,"[{""Penulis"":""Marlasari, Rafidah""},{""Penulis"":""Nashiruddin, Muhammad Imam""},{""Penulis"":""Adriansyah, Nachwan Mufti""}]","Inmarsat Global survey in 2016 already found that on any flight length, the majority of passengers around 54% prefer to have the option of in-flight Wi-Fi. Rest of it, over 16% choosing In-Flight Entertainment (IFE), 19% choosing meal, and 7% choosing duty-free. As time goes by, the procurement of In-Flight Connectivity (IFC) is increasingly becoming a focus for the aviation industry. So far, IFC services provide through satellite and direct Air-to-Ground (ATG) technology. High interest in onboard connectivity makes the procurement also expand from the international route flights to the domestic route flights. A large number of passengers makes Indonesia have a bright future to develop IFC. 2 Indonesian airlines already begin to provide IFC. Although not specific on IFC, Indonesia already has a precise regulation that allows foreign satellite as a provider of IFC. Involving related companies such as operator or tower provider company to build a new independent ATG network for Indonesia shows opportunity. By considering the current state, the author analyzes the opportunities and challenges of IFC development in Indonesia in terms of market, network, regulation, and related company as players. © 2019 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
The policy implementation impact on region management,"[{""Penulis"":""Sarihati, Tati""},{""Penulis"":""Rachaju, Rannie Dyah K.""},{""Penulis"":""Mukhlisiana, Lusy""}]","The land function alteration happens massively at Kecamatan Cimenyan, an area in North Bandung Region or known as Kawasan Bandung Utara (KBU). KBU areas are important because it is located traverse 4 different regions, such as Bandung, Kabupaten Bandung, Kabupaten Bandung Barat, and Cimahi. The main function KBU areas to the cities and districts are very important, especially for water infiltration. It means that these areas are become the main water conservation land and also a flooding prevention area, not only for Bandung Raya region, but also for West Java Region. Land function alteration that happen in Kecamatan Cimenyan are encompass forest, plantation, dry land agricultural plant or known as TPLK conversion and water conservation land alteration into housing development, hotel chain business, and even change into mining area. That leads to environmental changes, such as soil erosion and sedimentation, overflowing river that leads to floods. It’s all because the water conservation areas are getting smaller and smaller each day. Thus, this research aimed to analyse the policy implementation factors that affect the region management effectiveness, hindrance factor, and also the administration efforts at Kecamatan Cimenyan Kabupaten Bandung. An explanative method was used to analyse this research, and used cluster sampling to select the sample from 9 village and kelurahan in KBU region, Kecamatan Cimenyan Kabupaten Bandung in particular. And on every stage sampling are taken by simple random sampling method. The data of this research are examine using structure equation modelling (SEM), a procedure based on methods of successive interval. This research disclosed that the policy implementation that based on communication dimension, resources, disposition/support attitude and bureaucratic structure have a significant impact on the region management effectiveness. And the most significant dimension to determine the effectiveness of the region management was support/disposition dimension then followed by others dimension. © BEIESP.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
Evaluation of solid oxide fuel cell based polygeneration system in residential areas integrating with electric charging and hydrogen fueling stations for vehicles,"[{""Penulis"":""Ramadhani, Farah""},{""Penulis"":""Hussain M.A.""},{""Penulis"":""Mokhlis, Hazlie""},{""Penulis"":""Fazly, Muhamad""},{""Penulis"":""Ali, Jarinah Mohd.""}]","This study proposes a design of polygeneration system based on solid oxide fuel cell to supply electricity, hot water, cooling, and hydrogen. This system also integrates the stationary supply for electric and hydrogen cars. The polygeneration system is developed based on energy, economic and environment simulation models by taking into account its application for the residential building. Four system configurations were designed based on the grid connection and the vehicle type and subsequently evaluated to determine the performance of the system in regard to the criteria such as efficiency, reliability, primary energy saving, cost saving as well as carbon dioxide reduction. Moreover, a strategy of selling the available hydrogen was also considered to analyze the competitiveness of the proposed system with the conventional separated system. Depending on these criteria, analysis of fuel cell size with respect to the coverage of demands was also conducted. The proposed system achieved primary energy savings, cost saving and emission reduction of about 73%, 50% and 70% respectively. The hydrogen selling strategy has a significant effect in reducing energy cost close to 51% for the configuration with electric vehicle station. © 2019 Elsevier Ltd","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
FPGA-based led intensity controller for power consumption efficiency in motorcycle,"[{""Penulis"":""Hadiyoso, Sugondo""},{""Penulis"":""Ramdani, Ahmad Zaky""},{""Penulis"":""Wijayanto, Inung""},{""Penulis"":""Rizal, Achmad""}]","Improper beam patterns on vehicle lights have major implications for the level of driving safety. This beam pattern control technique has been developed to improve driving safety. Most of them use additional components that increase power costs. In LED-based light sources, the design of LED arrays can increase the level of lighting and expand the transmission area. A large transmitting area is needed, but in a turn of the road, conditions are only needed based on the direction of the vehicle. Therefore, in this study, a system was designed to regulate LED beam patterns based on the direction of the vehicle. The main objective is to reduce power consumption so that it is more environmentally friendly and supports green technology programs. The control process was done by adding control components that work based on the direction of the vehicle that is read by the direction sensor. The digital control algorithm was implemented on the Altera DE-0 Nano FPGA with controls using fuzzy logic. The memory resources needed for implementing this system are 145 logic in the form of the loop up tables and 102 registers with a total power of 2 mW. This control module is able to provide a better focus of lighting and power efficiency up to 53% compared to a system without control. © 2019 IOP Publishing Ltd. All rights reserved.","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The effect of bubbling method in vapor carburetor using fuel variations on fuel consumption on motorcycle,"[{""Penulis"":""Nugraha, Rahmat Aditya""},{""Penulis"":""Bugis, Husin""},{""Penulis"":""Basori""}]","The increase in the number of motorized vehicles in Indonesia increases the amount of consumption of fossil fuels so that the fuel supply is running low. Technology that is developing at this time has not been able to produce an optimal role in saving fuel consumption. The need for new technology to keep the consumption of fossil fuels. This study aims to determine the effect of vapor carburetor using the bubbling method to reduce the level of fuel consumption. The Vapor carburetor evaporates fuel by making air bubble trough fuel. This study uses an experimental approach with a research object of a 100cc single-cylinder gasoline engine. The fuel used is RON 90, RON 92, RON 98 through the calculation of fuel consumption of ml/minute. Data analysis using descriptive quantitative. The result of the study shows that increases in fuel-saving value of 28.26% RON 90, 29.68% RON 92, 24.6% RON 98. This result indicated that there is an effect of using a vapor carburetor with bubbling method in saving fuel consumption can be using used in the future fuel system. © 2019 Author(s).","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Evaluation of optimum golomb ruler performance for NG-PON2 networks,"[{""Penulis"":""Priambodo, Satrio""},{""Penulis"":""Hambali, Akhmad""},{""Penulis"":""Pamukti, Brian""},{""Penulis"":""Melati, Putri Puspita""},{""Penulis"":""Putra, Raga Filydevilia""}]","In this paper, we evaluate Optimum Golomb Ruler (OGR) for Next Generation Passive Optical Network Stage2 (NG-PON2) to overcome natural disaster namely non-linear effect. Non-Linear effect is the unavoidable tragedy from natural fiber effect, and biggest issue is Four Wave Mixing (FWM). To expand the capacity, NG-PON2 uses four wavelengths, where each wavelength transmit up to 10 Gbps for downstream. The impact of FWM decrease performance in NG-PON2, significantly, without exploit any mitigations. In addition, this paper focuses on the effect of the Optimum Unequal Channel Separation (OUCS) method with Golomb Ruler for the FWM effect on NG-PON2. Our simulation shows that after employee OGR, performance increase effectively at a distance of 25-31 km. The result shows that Q-Factor values, Signal to Noise Ratio (SNR), and received power improve around 14.27%, 40.26%, and 0.34%, respectively. © 2019 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Digital transformation: A transformational performance-based conceptual model through co-creation strategy and business model innovation in the Industry 4.0 in Indonesia,"[{""Penulis"":""Wasono Mihardjo, Leonardus W.""},{""Penulis"":""Sasmoko""},{""Penulis"":""Alamsjah, Firdaus""},{""Penulis"":""Elidjen""}]","This paper seeks to portray the conceptual model of ICT companies in transforming their business and organisation capabilities to face Industry 4.0 through co-creation strategies and business model innovations in Indonesia markets. The Indonesian market is unique in terms of its ICT infrastructure, but still left behind compared to other countries. However, the market has tremendous opportunities in terms of digital capability innovations. The strategic management outline used as a framework for this paper. Mediating variables were co-creation strategies and business innovations with distinctive organisational capability as an internal factor and consumer orientation as the external independent factor. The construct of co-creation strategy and transformational performance were discussed. This model of digital transformation was a suitable model for senior leaders to transform digital business capability and academics. Moreover, the model and construct of variable can be used to further develop the theory of digital transformation. Copyright © 2019 Inderscience Enterprises Ltd.","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
SCOR-BSC Integrated Model for A Small Medium Enterprise Clothing Industry Using MTS-based Production Strategy in Indonesia,"[{""Penulis"":""Permadi B.W.""},{""Penulis"":""Ridwan A.Y.""},{""Penulis"":""Juliani W.""}]","Small and Medium Enterprises (SME) in Indonesia continues to grow. SMEs have proven to be able to survive, and Indonesia was hit by a crisis in 1997. However, UKM has several disadvantages, one of which is the difficulty in developing its business. Hence performance measurement is needed so that SMEs can see the performance of their SMEs and can make improvements. This research will focus on one of the SMEs engaged in the clothing industry in the city of Bandung. This research also focuses on the production section that uses the make-to-stock strategy as its production strategy. The integrated SCOR-BSC model is used as the basis for determining the KPI needed by SME clothing. The results of this study can be the basis for the development of a monitoring system. © Published under licence by IOP Publishing Ltd.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Relationship among Knowledge Management, Innovation, and Performance: A Systematic Literature Review","[{""Penulis"":""Kurniawati, Amelia""},{""Penulis"":""Wiratmadja, Iwan Inrawan""},{""Penulis"":""Sunaryo, Indryati""},{""Penulis"":""Ari Samadhi T.M.A.""}]","The role of knowledge management in improving organizational performance has been discussed in previous studies. Some other studies indicate that innovation is the enabler for organizational performance. Therefore, this study aims to identify the current research main findings related to the relationship among knowledge management, innovation, and performance. The methodology approach used in this study is the systematic literature review. There are 22 primary articles published from 2005 until 2018. The primary articles are classified according to the study context, research variables, and statistical tools used. The target sample population discussed in the 22 primary articles is both service and manufacturing industry with various size of the organization. Six of the primary articles identify the mediating role of innovation in the relationship between knowledge management and performance. © 2019 IEEE.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Design and Development of IoT based Sensor for Traffic Management,"[{""Penulis"":""Nugroho, Tunggul A.""},{""Penulis"":""Suakanto, Sinung""},{""Penulis"":""Sutarto., Herman Y.""},{""Penulis"":""Joelianto, Endra""}]","problems at several points in big cities. A traffic management is needed to control the signalized intersection. In traffic management, one important parameter is travel time. In this paper, we develop IoT hardware intended to record the critical information that characterizes the movement of vehicles. Data from the movement of the vehicle will contain information on the position and speed of the vehicle and the recording time. The system is designed and developed by starting from sensor, controller, communication, broker and data logger. The communication protocol used is open source MQTT protocol for communication from device to server. The results of the design are tested in several streets around city of Bandung, Indonesia. The results are accommodated in a server. The recorded collection of data can be exported as bulk data for further analysis or development of traffic management models. This paper presents the the design and performance of the developed IoT device for traffic data management. succeeded in The continuously sending data of sensor to the Data Logger with a period less than 1s was achieved. The increasing number of vehicles causes traffic © 2019, Internetworking Indonesia Journal. All rights reserved.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Melanoma Cancer Classification Using ResNet with Data Augmentation,"[{""Penulis"":""Budhiman, Arief""},{""Penulis"":""Suyanto, Suyanto""},{""Penulis"":""Arifianto, Anditya""}]","Melanoma skin cancer is cancer that difficult to detect. In this study, have been done melanoma cancer classification using Convolutional Neural Network (CNN). CNN is a class of Deep Neural Network (Deep Learning) and commonly used to analyzing images data. A lot of data used on CNN can greatly affect accuracy. In this study, the objective is to get best ResNet model for classifying melanoma cancer and normal skin images. The dataset that used is ISIC 2018. ResNet is used because the model winning the ILSVRC competition at 2015. ResNet architecture model that used are ResNet 50, 40, 25, 10 and 7 models. The architecture trained using data train that has been augmented and undersampling. The validation result on each model calculated using F1 Score. After validation and F1 Score result from the model obtained, the result compared each other to select the best model. The best architecture is ResNet 50 without augmentation that gives a validation accuracy of 0.83 and f1 score of 0.46. © 2019 IEEE.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Classification of diabetic retinopathy using statistical region merging and convolutional neural network,"[{""Penulis"":""Wulandari, Chintya Dewi Regina""},{""Penulis"":""Wibowo, Suryo Adhi""},{""Penulis"":""Novamizanti, Ledya""}]","Diabetes Retinopathy is one of the complications of Diabetes Mellitus, which occurs in the retina of the eye. Patients will experience vision problems and if it handled late, patients will experience blindness. Manual examination by an ophthalmologist will take time and the results of the examination also depend on the doctor's expertise in diagnosing. Therefore, digital image processing system which able diagnose quickly, accurately, and objectively, is needed. Based on these problems, in this research the author designed a system that can process digital fundus images and classify them into 4 classes namely normal, mild NPDR, moderate NPDR, and severe NPDR by using data taken from MESSIDOR dataset. The data is processed using Statistical Region Merging (SRM) segmentation method and is classified using the Convolutional Neural Network (CNN) method. The number of data samples used in this research is 80 images, which consist of 20 image samples for each class. The best accuracy achieved was 81.25% using a ratio of 3:2 training data and test data, the value of segmentation complexity parameters Q=256, the number of epochs=100 and the learning rate=0.0001, with 14.518 seconds of computation time. © 2019 IEEE.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Evolving Customer Experience Management in Internet Service Provider Company using Text Analytics,"[{""Penulis"":""Alamsyah, Andry""},{""Penulis"":""Bernatapi, Earlyan Abdiel""}]","Customer experience is of crucial significance to the constant growth of a business. It is necessary to ensure great customer experience, thus maintaining customer loyalty and satisfaction. An approach that intended to develop and improve customer experience is called Customer Experience Management (CEM). CEM is a strategy practiced to track, supervise, and arrange all synergy to help a business focal point on the needs of its customers. This research uses sentiment analysis and topic modeling to analyze the experience of Internet Service Provider customers. The output of this research expected to drive the strategies change in CEM. This research uses data taken from customer tweets on Twitter. It is considering that the data on social media is enormous and unstructured. Therefore, classification using Naive Bayes Classifier applied to assist and expedite in the sentiment analysis process. The classification for sentiment analysis using NBC gained accuracy above 82%. Hence, the classification models using NBC achieve excellent capability for sentiment analysis. To determining topics that often discussed by customers, this research uses the Latent Dirichlet Allocation models for Topic Modeling. © 2019 IEEE.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Preliminary study on Bandung sustainable urban mobility policy: The contribution of public transportation on emission,"[{""Penulis"":""Miftah A.Z.""},{""Penulis"":""Sasmono S.""},{""Penulis"":""Sunarwibowo A.""},{""Penulis"":""Khairani A.F.""},{""Penulis"":""Moroga K.""}]","Transportation policy in Bandung has advanced to fundamental changes that are environmentally oriented. Mobility is the key driver for development, while type of transportation links between areas and connecting each other to facilitate their economic and social needs. Development of Bus Rapid Transit (BRT) is one of the solutions to reduce the use of private vehicles with the provision of mass transportation. The objective of this study was to describe the existing service of Trans Metro Bandung (TMB) and its emission. The TMB's emission factor is analyzed by using Vehicle Kilometers Travelled (VKT) and fuel consumption in a year. The results showed that the emissions of TMB have influenced the air quality of Bandung. Thus, other alternatives energy is suggested in the development of public transportation (BRT) that supports eco-transportation. © 2019 IOP Publishing Ltd. All rights reserved.","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Classification of gene expressions of lung cancer and colon tumor using Adaptive-Network-Based Fuzzy Inference System (ANFIS) with Ant Colony Optimization (ACO) as the feature selection,"[{""Penulis"":""Zainuddin S.""},{""Penulis"":""Nhita F.""},{""Penulis"":""Wisesty U.N.""}]","Cancer is one of the death causes in most countries. In 2015 the death count caused by cancer is reaching 8,8 million and in 2030 it is estimated that the death count reaches 13 million. Therefore, in this research conducted an expression classification of gene using Adaptive-Network-based Fuzzy Inference System (ANFIS) with Ant Colony Optimization (ACO) as the feature selection can help the process of early diagnosis to reduce mortality. The data used are colon tumor and lung cancer obtained from Kent Ridge Biomedical Data Set Repository. Accuracy results obtained are influenced by several factors such as data partition method, the number of ants, and the number of gene attributes. The best accuracy results obtained for colon tumor is 94,73% and lung data cancer is 100%. © Published under licence by IOP Publishing Ltd.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hotel room price determination based on dynamic pricing model using nonlinear programming method to maximize revenue,"[{""Penulis"":""Fadly, Muhammad""},{""Penulis"":""Ridwan, Ari Yanuar""},{""Penulis"":""Deni Akbar, Mohammad""}]","Dynamic pricing strategy is a pricing strategy that is often applied by hotels to maximize their income. The purpose of this study is to provide a pricing policy proposal in accordance with dynamic pricing models. This study provides a dynamic pricing model that has been adapted to the problems that exist in hotels with various types of rooms. This research consists of three stages, the first phase is predicting future demand. The second stage applying revenue management tools, namely dynamic pricing, to model the effect of prices on demand. Prices change dynamically based on the number of requests available. The third stage is using a nonlinear programming approach to maximize revenue. Forecast parameters and dynamic pricing models are estimated using historical sales data for one of the hotels in Bandung, West Java, Indonesia. The results suggest a pricing policy for superior and deluxe room types that can increase revenue by 27% more than the existing pricing policy. The proposed pricing policy is able to complete the method void in determining prices. In addition, the results of this study provide optimal room rates every day along the planning horizon. © 2019 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Open Innovation for Course Development Process Using Simulation-based Programming,"[{""Penulis"":""Kurniawati A.""},{""Penulis"":""Ramadhan F.""},{""Penulis"":""Soesanto R.P.""},{""Penulis"":""Wiratmadja I.I.""}]","Open innovation is a collaborative approach to integrate knowledge into innovative process. The purpose of this research is to develop the simulation model for open innovation in the course development process. A university in Indonesia is used as a research object. Every year, all lecturer assistants from different laboratory discuss each other with a various opinion related to all important criteria to make a new solution. Simulation-based programming is used to simulate the behavior of people in the course development process. The first step is to develop the simulation model for calculating the interaction model. An individual interaction model step is used to determine the core processes in the model. The last step is testing the model in the course development process. The result shows that after 37 interaction, all the opinion become a new solution hence the model can be used as a tool for creating the open innovation process. The result shows that all participants have the same opinion with the new solution. © 2019 IEEE.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Analysis of the use of Social Media Monitoring for the existence of public opinion (Case study on PT. Telkom Indonesia Tbk Digital Platform),"[{""Penulis"":""Lestari, Martha Tri""},{""Penulis"":""Suryana, Asep""},{""Penulis"":""Mulyana, Slamet""},{""Penulis"":""Hidayat, Mien""}]","With the development of information and communication technology today, it makes the community both individually and society in the realm of industry carry out communication activities using media which is often referred to as digital media. Digital media commonly used today is digital media that is generally owned by Indonesian netizens, namely social media. By only having internet access all netizens can become social media users. Using internet access is not only used by Indonesian people in person, but Indonesian people to interact in an industry / company often interact with the use of internet media, considering that the development of the Digital Industry Revolution has entered the Industrial Revolution 4.0. ""Both practitioners and academics agree that the social revolution occurring through digital channels will have a profound impact on hoe people interact with each other and how companies manage their relationships in the changing communications landscape (Greenberg, 2010;Kletzmann et al.,2011;Dennis et al.,2009)"" (Journal of Business & Industrial Marketing, Vol. 30). The government is committed to increasing Indonesia's competitiveness position from 41st to 39th in the world from 138 countries listed in the 2016-2017 Global Competitiveness Report. To achieve this goal, one of the solutions being pushed by the Ministry of Industry is to spur domestic industries to continue to innovate in the face of the implementation of Industry 4.0. Because of that case, human interaction in the industry will not be separated from a communication process, it's just that at this time different is a tool / media in carrying out the communication process, which originally used conventional communication media to switch to convergence (digital) communication media. Currently PT. Telkom Indonesia Tbk as a subject of this research, conducts monitoring and analysis of public opinion one of them by using Social Media Monitoring. Based on the results of pre-research by interview some informants, they said that PT. Telkom Indonesia Tbk conducts Social Media Monitoring with the aim to find out how much positive / negative sentiment to Telkom's Social Media brand as a whole building to Corporate Image and also for the others needed such as building Product Image and Product Marketing. PT. Telkom Indonesia Tbk analyzes public opinion with the use of social media because there is an element of transfer of communication patterns from conventional media to digital media, but apart from that, PT. Telkom Indonesia Tbk continues to analyze conventional public opinion, including via e-mail, the voice of the reader, also through the call center 147 service and also through the application ""apps my indihome"". In addition, PT Telkom Indonesia often analyzes public opinion with the support of various other events, namely the ""Public Hearing"" and also ""Focus Group Discussion"" carried out by each division of the platform holder where in this research is the Corporate Communication Division, Customer Division Care and also the Marketing Promo Division. The research method used in this study is a case study where there is a pecualiarity in this study, namely PT Telkom Indonesia Tbk is an industry that is very concerned about public opinion on its customers so that handling feedback becomes a very important and main thing by doing social media monitoring with help by the agency or carred out by related unit employees. © 2019, Library Philosophy and Practice.","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
