Judul,Penulis,AbstrakClean,target,aspects
Lean manufacturing performance and organizational culture: An exploratory study,"[{""Penulis"":""Salma, Sheila Amalia""},{""Penulis"":""Gafigi, Mohammad Andi""},{""Penulis"":""Rahma, Karyma Talitha""},{""Penulis"":""Widyanti, Ari""}]",Lean Manufacturing adalah pendekatan untuk meningkatkan produktivitas melalui pemikiran lean Succe dari aplikasi manufaktur lean dipengaruhi oleh berbagai faktor salah satunya adalah budaya organisasi yang bertujuan untuk mengeksplorasi manufaktur ramping dan budaya organisasi dalam produsen pesawat Indonesia sembilan puluh pekerja dalam tiga produksiDivisi I e rinci bagian manufaktur komponen dpm a emly ca final Pusat pengiriman yline fal dc dalam manufaktur pesawat terlibat dalam penelitian ini secara sukarela dengan mengisi serangkaian kuesioner kinerja manufaktur lean diamati menggunakan tolok ukur manufaktur lean sedangkan budaya organisasi dievaluasi menggunakan menggunakanBudaya Organisasi Instrumen Hasilnya menunjukkan bahwa kinerja lean untuk DPM adalah CA adalah fal DC adalah semua divisi tidak memiliki budaya dominan namun peningkatan kinerja lean seiring dengan peningkatan hierarki dan budaya klan dan penurunan implikasi budaya pasar dan adhokrasi dariHasilnya adalah penulis yang dibatalkan,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",SDG9
"On the Reproduction Ratio of Dengue Incidence in Semarang, Indonesia 2015-2018","[{""Penulis"":""Puspita J.W.""},{""Penulis"":""Fakhruddin M.""},{""Penulis"":""Fahlena H.""},{""Penulis"":""Rohim F.""},{""Penulis"":""Sutimin""}]","Dengue adalah salah satu penyakit yang ditularkan oleh nyamuk yang disebabkan oleh virus dengue DENV yang telah menjadi endemik di sebagian besar negara tropis dan subtropis termasuk Indonesia karena ada banyak insiden demam berdarah di siniUntuk menganalisis berbagai tingkat infeksi di antara kelompok umur yang berbeda, model matematika SIR UV dengan struktur usia pada manusia, populasi dibangun untuk menggambarkan transmisi demam berdarah di semarang dari ke dalam penelitian ini kami memisahkan populasi manusia menjadi empat usia anak -anak tahun anak muda mudatahun orang dewasa yang produktif bertahun -tahun dan orang dewasa non -produktif selama bertahun -tahun kami menggunakan optimasi gerombolan partikel untuk memperoleh parameter optimal untuk tingkat transmisi berdasarkan insiden tahunan rasio reproduksi dasar R berasal dari matriks generasi berikutnya dan dievaluasi dengan menggunakan parameter optimal untuk untuk untuk untuk untuk untuk mendapatkan parameter optimalData Semarang dalam Hasil Simulasi Numerik menunjukkan bahwa jumlah insiden demam berdarah dalam perjanjian yang baik dengan data aktual di Semarang untuk diterbitkan oleh Indonesian Bio Mathematical Society","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",SDG3
Joint-greedy allocation algorithm on D2D communication underlaying networks,"[{""Penulis"":""Prabowo V.S.W.""},{""Penulis"":""Pamukti, Brian""},{""Penulis"":""Fahmi, Arfianto""},{""Penulis"":""Adriansyah, Nachwan Mufti""},{""Penulis"":""Andini, Nur""}]",Jaringan G generasi kelima memperkenalkan komunikasi D D pada jaringan seluler pada sistem D D Perangkat ini dapat saling berkomunikasi secara langsung tanpa menggunakan ENB dengan rentang terbatas jaringan D D ini dapat ditumpangkan pada jaringan seluler LTE dan akan menggunakan sumber daya yang sama dengan pengguna seluler yang ada gangguan interferensi yang adaakan terjadi antara pengguna D D dan pengguna seluler yang ada untuk mempertahankan kinerja sistem prosedur alokasi sumber daya menjadi aspek penting karena interferensi di antara pengguna pekerjaan ini diusulkan algoritma serakah bersama algoritma alokasi berbasis rakus ke IGN untuk pengguna untuk pengguna untuk komunikasiProce Bergabung dengan algoritma serakah terdiri dari dua fase penyortiran untuk menemukan sumber daya terbaik untuk setiap pengguna D D Pria penyortiran pertama adalah menemukan sumber daya terbaik untuk setiap pengguna D D dan proyek penyortiran kedua adalah menemukan solusi terbaik dari hasil prosedur pertama dari tersebutSimulasi prosedur algoritma yang diusulkan dapat meningkatkan efisiensi spektral hingga BPS Hz dan meningkatkan efisiensi energi dengan KBPS watt algoritma yang diusulkan juga dapat mempertahankan fairne di antara pasangan D D yang bergabung dengan algoritma serakah memiliki indeks fairne rata -rata ini membuktikan bahwa algoritma yang diusulkan memiliki sistem yang lebih baik memiliki sistem yang lebih baik memiliki sistem algoritma yang diusulkan memiliki sistem yang lebih baik memiliki sistem yang diusulkan memiliki sistem yang lebih baik memiliki sistem yang diusulkan memiliki sistem memiliki sistem yang lebih baik memiliki sistem algoritma yang diusulkan memiliki sistem memiliki sistem yang lebih baik memiliki algoritma yang diusulkan memiliki sistem memiliki sistem yang diusulkan memiliki sistem memiliki sistem yang diusulkan memiliki sistem memiliki sistem yang diusulkan memiliki sistem memiliki sistem yang diusulkan memiliki sistem memiliki sistem yang diusulkan memiliki sistem memiliki sistem yang diusulkan memiliki sistem memiliki sistem yang diusulkan memiliki sistem memiliki sistem yang diusulkan memiliki sistem memiliki algoritma yang diusulkan memiliki sistem memiliki algoritma yang diusulkan memiliki sistem memiliki algoritma yang diusulkan memiliki sistem memiliki algoritma yang diusulkan memiliki sistem memiliki algoritma yang diusulkan.Pertunjukan Dibandingkan dengan Algoritma Lainnya IEEE,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",SDG7
Analysis of smart house power savings with on-grid photovoltaic power system,"[{""Penulis"":""Nurfaidah Y.""},{""Penulis"":""Wibawa I.P.D.""},{""Penulis"":""Aprilia B.N.D.""},{""Penulis"":""Ekaputri C.""},{""Penulis"":""Reza M.""}]","Penggunaan energi terbarukan diperlukan dalam menghemat listrik dari bahan bakar foels, logger data daya digunakan untuk menentukan total penggunaan energi rumah tangga sesuai dengan perilaku waktu nyata dalam penelitian ini penggunaan energi total yang digunakan untuk desain instalasi energi panel surya menggunakan menggunakanAplikasi Helioscope dan Homer Untuk mengetahui berapa banyak daya yang dapat dihemat total biaya sekarang NPC berdasarkan panel grid dan surya dan modal awal dalam memasang panel energi surya dalam rumah tangga VA dengan energi listrik sesuai dengan perilaku konsumen yang ada di sekitar KWH memasang tujuh KWhWP Solar Panels adalah instalasi maksimum untuk VA Plined IOP Publishing Ltd Semua Hak Dilindungi Undang -Undang","0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",SDG7
Humidity Effect to the Indonesia 5G Channel Model at 3.3 GHz,"[{""Penulis"":""Reni Dyah W.""},{""Penulis"":""Anwar, Khoirul""},{""Penulis"":""Nur, Levy Olivia""}]","Selain Sub GHz, Generasi Telekomunikasi Kelima G Radio Baru NR juga menggunakan gelombang gelombang milimeter yang sensitif terhadap lingkungan yang diusulkan makalah ini mengusulkan model saluran indonesia di bawah efek kelembaban dan evaluasi kinerjanya yang diusulkan makalah ini mengevaluasi kinerja teknologi G nr berdasarkan ortogonalDivisi Frekuensi Multiplexing OFDM Numerologi Pada frekuensi operasi GHZ dan bandwidth MHZ Kami juga memberikan kinerja pemadaman model saluran G yang divalidasi menggunakan laju kesalahan bit BER dan frame error rate fer kinerja G kompleks fase fase kompleks C BPSK dan kode konvolusional Hasil menunjukkan hasilnya menunjukkan hasil G FERModel saluran G dipengaruhi oleh kelembaban hasil ini diharapkan menjadi referensi yang berguna untuk eksperimen lapangan nyata dan implementasi jaringan indonesia di indonesia IEEE","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Indonesian graphemic syllabification using a nearest neighbour classifier and recovery procedure,"[{""Penulis"":""Parande, Edwina Anky""},{""Penulis"":""Suyanto, Suyanto""}]","Silabifikasi otomatis yang menguraikan kata menjadi suku kata adalah bagian penting dalam pengenalan ucapan otomatis ASR yang menggunakan model akustik dan bahasa berbasis suku kata yang dapat dilakukan untuk urutan fonem atau grafem.Grapheme to Phoneme Conversion G P sebagai prosedur sebelumnya secara umum memberikan akurasi tinggi untuk banyak kata formal tetapi akurasinya dapat berkurang untuk nama orang sebaliknya, silabifikasi grafemik lebih sederhana dan lebih potensial untuk diterapkan untuk nama orang yang difokuskan penelitian ini pada pengembangan modelof graphemic syllabification using a combination of phonotactic rules and fuzzy k nearest neighbour in every cla   fknnc   the phonotactic rules are designed to find some deterministic syllabification points while fknnc  as a statistical cla ifier  is expected to search the remaining stochastic syllabification points  a recovery procedure is proposedUntuk memperbaiki poin silabifikasi yang salah yang dihasilkan oleh FNKKNC Fivefold CRO yang divalidasi pada dataset kata -kata formal k yang dipilih dari kamus besar bahasa Indonesia menunjukkan bahwa model yang diusulkan memberikan tingkat kesalahan suku kata dan prosedur pemulihan yang diusulkan mengurangi SER untuk menjadi yang mana yang menjadi yang menjadi yang menjadi yang menjadi yang menjadi yang menjadi yang menjadi yang menjadi yang menjadi yang menjadi yang akan menjadi yang akan menjadi SER untuk menjadi yang akan dikurangi SER yang akan menjadi SER untuk menjadi SER.lebih tinggi dari yang diproduksi oleh silabifikasi fonemik saja tetapi model ini mampu menangani dataset nama orang varians tinggi dengan sero dan prosedur pemulihan yang diusulkan mengurangi SER menjadi springer sains busine media llc bagian dari springer alam springer nature","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Designing Procurement Process Monitoring Dashboard for Supporting Food Security Supply Chain Risk Management System in Indonesian Bureau of Logistics,"[{""Penulis"":""Alfazah, Detha Aulia""},{""Penulis"":""Yanuar Ridwan, Ari""},{""Penulis"":""Yulianti, Femi""},{""Penulis"":""Artha Kusuma, Putu Giri""}]",Beras sebagai salah satu komoditas utama dan penting karena dapat mempengaruhi stabilitas ekonomi di Biro Logistik Indonesia Indonesia Bulog adalah perusahaan di bawah pemerintah Indonesia yang bertanggung jawab untuk mengelola distribusi komoditas padi Bulog Subdivre Bandung adalah salah satu dari sub divisi regional regionalTerletak di bawah naungan prosedur pengadaan komoditas padi bulog adalah prosedur yang paling penting. Tautan tinggi dari jaringan rantai pasokan dapat membuatnya dapat dicurigai dengan risiko jika prosedur pengadaan komoditas padi yang terganggu bulog tentu dapat mempengaruhi pilar ketahanan pangan oleh karena itu manajemen risiko danStrategi mitigasi diperlukan dalam prosedur pengadaan dalam makalah ini mitigasi mitigasi diformulasikan dan memantau dasbor dirancang untuk mempertahankan dan memantau risiko pada prosedur pengadaan komoditas beras menggunakan metode referensi operasi rantai pasokan Metode kegagalan dan analisis efek Metode FMEA dan Hirarki Analitik Analitikprosedur Ahp Hasil dari hasil mengidentifikasi risiko yang diperoleh di lapangan dan wawancara dengan para ahli ada peristiwa risiko dan penyebab risiko dibagi dengan tiga pilar ketahanan pangan dan untuk strategi mitigasi dibagi menjadi penyebab utama dengan alternatif untuk penyebab utama setiap peristiwa risiko yang paling berisiko yang paling berisiko yang paling berisiko yang paling berisiko yang paling berisiko yang paling berisiko yang paling berisiko yang paling berisiko yang paling berisiko yang paling berisiko paling besarSeharusnya mitigasi terlebih dahulu adalah penyerapan butiran rendah dengan dalam bobot AHP Dasbor pemantauan yang dirancang mampu memberikan ringkasan yang ringkas dan menunjukkan risiko yang mempengaruhi pilar keamanan pangan IEEE,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",SDG2
Mapping of Communal Waste Water Treatment Plant User Group in Citarum River Areas Using Geographic Information System,"[{""Penulis"":""Priscilla, Ayu Saskia""},{""Penulis"":""Kurniawati, Amelia""},{""Penulis"":""Rizana, Afrin Fauzya""}]","Sungai Citisum adalah sungai terbesar dan terpanjang di provinsi Jawa Barat, Sungai Citisum mengalir di sepanjang KM yang dimulai dari situ Cisanti dan bermuara di Laut Jawa, sungai terkontaminasi karena limbah yang dibuang ke sungai yang salah satunya adalah limbah industri dengan demikian demikianPemerintah Daerah perlu menyediakan pabrik pengolahan air limbah WWTP yang dapat digunakan secara bersamaan oleh beberapa industri yang berdekatan, kedekatan antara industri dapat dilihat melalui pemetaan titik lokasi menggunakan sistem informasi geografis, studi ini bertujuan untuk merancang aplikasi GIS berbasis web untuk menentukanKelompok industri yang akan menggunakan WWTP secara bersamaan aplikasi GIS dirancang untuk memetakan titik lokasi industri dan penempatan WWTP melalui penentuan koordinat lokasi di Google Maps API pengguna aplikasi ini dapat melihat tampilan kelompok WWTP komunal serta poin yang adadi area jangkauan tertentu IEEE","1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0","SDG1,SDG6,SDG9,SDG12"
Question Classification for e-Learning Using Machine Learning Approach,"[{""Penulis"":""Pratiwi, Oktariani Nurul""},{""Penulis"":""Syukriyah, Yenie""}]",Seiring dengan penggunaan E mempelajari kumpulan pertanyaan dalam database juga meningkatkan pertanyaan yang telah diunggah ke sistem pembelajaran E tentu dapat digunakan berulang kali penggunaan pertanyaan berulang akan mudah dilakukan dengan prosedur reinvention jika diPertanyaan telah dikelompokkan dengan benar sayangnya mengelompokkan pertanyaan berdasarkan subjek untuk perincian tentang pengelompokan per topik jarang dilakukan dalam pembelajaran ini membuat prosedur melacak masalah yang ada sulit selain keadaan kurikulum pendidikan di Indonesia seringkali perubahan dapat perubahan dapat menjadi perubahanSecara keseluruhan atau sebagian perubahan ini dapat membuat konten material dalam urutan perubahan subjek atau dihilangkan ketika perubahan ini terjadi masalah sebelumnya yang masih dapat digunakan akan sulit digunakan ketika perubahan kurikulum terjadi oleh karena itu sejumlah besar data pertanyaan danKesulitan dalam menemukan pertanyaan lagi membuat peneliti melakukan penelitian ini sistem pembelajaran harus memiliki kemampuan pembelajaran mesin yang dapat CLA jika pertanyaan secara otomatis berdasarkan topik ke sub topik yang diperiksa lebih dalam setiap pertanyaan dapat memiliki ifikasi CLA dalam bentuk kategori subjek subjekTopik Sub Topik ke tingkat kesulitan pertanyaan dalam penelitian ini para peneliti yang berfokus pada pertanyaan pengelompokan berdasarkan kategori subjek dan topik tujuan dari penelitian ini adalah untuk menemukan metode yang tepat dalam membangun model pembelajaran mesin dalam pertanyaan CLA ifying sesuai dengan kategori topik dan kategori topik danSubtopik secara akurat dan cepat sehingga pertanyaan dalam pembelajaran dapat dipanggil kembali persis sesuai kebutuhan secara otomatis IEEE,"1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG4,SDG17"
Open science cyber-infrastructure framework for next generation disaster analytics,"[{""Penulis"":""Sharef, Nurfadhlina Mohd""},{""Penulis"":""Jacob, Deden Witarsyah""},{""Penulis"":""Hayashi, Masaharu""}]","Gerakan Sains Terbuka semakin populer karena stabilitas penyimpanan data dan teknologi jaringan selain ketersediaan portal data terbuka di banyak negara namun studi kasus yang berfokus pada persyaratan dan desain infrastruktur cyber untuk ilmu terbuka dibatasi laporan makalah ini iniPenyimpanan infrastruktur yang ada untuk manajemen informasi bencana sebagai kegiatan sains terbuka berdasarkan kerangka kerja Sendai, sebuah kerangka kerja yang menggabungkan kualitas data terbuka dan persyaratan sistem repositori generasi berikutnya berdasarkan studi kasus tentang manajemen kebakaran banjir dan hutan di Malaysia dan danIndonesia diusulkan makalah ini mengisi kesenjangan antara fokus pada kerangka kerja data terbuka dan sistem repositori generasi berikutnya berdasarkan persyaratan dari kolaborasi internasional baru -baru ini tentang studi riset iklim BEIESP","1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1","SDG1,SDG11,SDG17"
Queueing theory based accelerated traffic discharging model in front of emergency vehicle on intersection,"[{""Penulis"":""Sumaryo, Sony""},{""Penulis"":""Halim, Abdul""},{""Penulis"":""Ramli, Kalamullah""},{""Penulis"":""Joelianto, Endra""}]","Sistem Transportasi Cerdas Ini adalah integrasi antara jaringan komunikasi kontrol waktu nyata dan teknologi informasi Sistem ini diharapkan untuk melakukan pengaturan lalu lintas yang lebih kompleks dalam manajemen lalu lintas tertentu dari implementasi kendaraan darurat dengan sinyal lalu lintas pra Empsi saja tidak cukup untuk memberikan ruang bagi kendaraan daruratUntuk cro dan persimpangan dengan aman terutama jika jalan jalur hanya memiliki satu jalur. Kertas mengusulkan model baru akselerasi pelepasan lalu lintas berdasarkan pendekatan teori antrian dalam model dua indikator kinerja yang diusulkan diperkenalkan yang merupakan kecepatan lalu lintas normal di depan kendaraan darurat kendaraan darurat tersebutdan waktu perjalanan kendaraan darurat, tujuannya adalah bahwa kendaraan darurat dapat mencapai tujuan dalam waktu tertentu dan kecepatan konstan. Selain itu, penundaan tersebut harus dikelola dengan formula akselerasi linier dan eksponensial minimum dari lalu lintas di depan kendaraan darurat adalahKinerja model yang diturunkan dan kemudian divalidasi diuji terhadap model dalam hasil simulasi literatur menunjukkan bahwa model yang diusulkan mengarah ke lebih baik usaha bahwa kendaraan darurat tidak tertunda secara signifikan berdasarkan tes validasi, formula juga telah dikembangkan sesuai dengan model yang diusulkanHak Cipta Inderscience Enterprises Ltd","1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0","SDG1,SDG11"
Optimal Planning of Solar PV Using Simple Model for New Feed-in Tariff in Indonesia,"[{""Penulis"":""Adam, Kharisma Bani""},{""Penulis"":""Miyauchi, Hajime""}]",Indonesia masih berjuang untuk menarik investor untuk terlibat dalam proyek PV fotovoltaik surya ada transformasi cepat dalam regulasi PV oleh pemerintah empat peraturan yang terkait dengan pv surya dikirimkan dari sampai dalam pakan dalam regulasi tarif ditetapkan pakan dalam tujuan tarif.Pelanggan Listrik Untuk Memasang Sistem PV dan Menyuntikkan Energi Exce ke Grid Namun Perubahan Peraturan Cepat ini belum menarik pengembang atau pelanggan untuk berinvestasi dalam Solar PV Makalah ini mengusulkan model sederhana untuk menghitung ukuran optimal PV untuk umpan baru di dalamRegulasi tarif di pakan Indonesia dalam regulasi tarif memungkinkan pelanggan untuk menyuntikkan energi yang dihasilkan oleh PV ke jaringan peraturan memberikan kompensasi harga listrik dari energi yang dikirim ke jaringan dengan beberapa keterbatasan ada kesulitan untuk memperkirakan data energi harian kemudian perhitungan teknisdiusulkan dengan menggunakan model sederhana sehingga dapat membantu pelanggan dalam mengukur sistem PV surya yang menambah proposal metodologi penelitian ini juga mengembangkan aplikasi untuk membantu pelanggan dalam menghitung ukuran optimal PV surya dan profitabilitasnya umpan baru di dalamAturan tarif akan menjadi daya tarik bagi pelanggan namun perlu perhitungan yang komprehensif sehingga PV surya dapat menjadi sistem PV besar yang menguntungkan dapat menyebabkan finansial dengan investasi besar dan batasan pada perhitungan energi yang disuntikkan ke dalam grid hasil menunjukkan bahwaModel Sederhana PV Succe sepenuhnya dikembangkan untuk membantu konsumen mendapatkan ukuran PV yang optimal IEEE,"1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1","SDG1,SDG7,SDG13,SDG17"
"What we give, we get back: Investigating the dimensions that influence knowledge sharing on profit enterprise in Indonesia","[{""Penulis"":""Saide, Saide""},{""Penulis"":""Astuti, Endang Siti""},{""Penulis"":""Indrajit, Richardus Eko""},{""Penulis"":""Trialih, Rahmat""},{""Penulis"":""Diniaty, Amirah""},{""Penulis"":""Dewi, Fitriyana""},{""Penulis"":""Herzavina, Herzavina""}]","TUJUAN SEBAGAI PENELITIAN Sebelumnya menawarkan konteks umum lebih lanjut dari pendekatan manajemen pengetahuan sementara salah menempatkan lebih banyak pengembangan perilaku pribadi dalam konteks praktik berbagi pengetahuan penelitian ini meneliti apakah dan mengapa faktor pribadi memprediksi praktik berbagi pengetahuan yang bertujuan untuk mengintegrasikan dan menganalisis indikator seperti interaksi hibah altruisme hibahKemampuan dan Partisipasi Berbagi Pengetahuan Untuk Mengembangkan Model Perilaku Perilaku yang Komprehensif Pendekatan Metodologi Metodologi Pemodelan Persamaan Struktural digunakan untuk memeriksa kerangka kerja hipotesis penelitian dengan sampel delapan perusahaan laba di Indonesia dibagi menjadi temuan Perbankan dan Layanan Penyiaran Hasilnya menunjukkan bahwa faktor kemampuan altruisme dan interaksi interaksi dan interaksi.Secara signifikan berkorelasi dengan partisipasi berbagi pengetahuan, temuan ini dapat membantu perusahaan dan pekerja untuk memulai implementasi berbagi pengetahuan dan mendorong berbagi pengetahuan dalam batasan penelitian internal.Berfokus pada organisasi nirlaba E G Institusi Akademik dan berbagai bidang geografis Implikasi Praktis Manajerial idealnya menciptakan standardisasi atau peraturan yang untuk mendorong partisipasi pekerja untuk mentransfer pengetahuan mereka dalam aspek ini Perusahaan perlu diatur seperti pelatihan informal formal dan pertemuan untuk membuat pekerja mereka lebih banyakpercaya diri untuk berkomunikasi satu sama lain nilai orisinalitas studi sebelumnya mengeksplorasi perilaku berbagi pengetahuan dalam arti umum makalah ini meneliti fenomena tersebut secara khusus dalam konteks perusahaan perbankan dan jasa penyiaran di Indonesia kemudian menganalisis potensi perusahaan untuk meningkatkan strategi berbagi pengetahuan mereka Emerald Publishing Emerald Emerald merekaterbatas","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Thermal condition of Semarang heritage Tawang railways station,"[{""Penulis"":""Rusyda, Hana Faza Surya""},{""Penulis"":""Setyowati, Erni""},{""Penulis"":""Hardiman, Gagoek""}]","Kota Semarang memiliki iklim tropis basah Iklim tropis basah relatif memiliki radiasi matahari tinggi kelembaban tinggi suhu udara harian tinggi dan pergerakan udara rendah. Selain itu bangunan warisan biasanya yang telah beradaptasi dengan iklim dan lingkungan di sekitar bangunan terutama untuk kenyamanan interior tujuan dari tujuan dariPenelitian ini adalah untuk menguji kondisi panas interior di bangunan warisan yang masih dipelihara oleh desain studi kasus dalam penelitian ini adalah interior stasiun tawang semarang yang memiliki beberapa fungsi seperti toko kantor dan ruang tunggu yang masih menggunakan ventilasi alamiMetode adalah pengukuran simulasi model objek dan analisis data pengukuran digunakan untuk mengembangkan simulasi menggunakan komputasi yaitu ECOTECT hasil analisis mengungkapkan jumlah panas yang dihasilkan oleh desain interior stasiun tawang, desain interior stasiun tawang dimasukkan sepanasditunjukkan oleh suhu yang lebih dari C saat ini stasiun Tawang masih memiliki nilai kondisi termal yang moderat terutama karena desain memerlukan banyak ventilasi dan langit -langit tinggi sehingga ia memiliki gerakan udara yang relatif tinggi penulis","1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0","SDG1,SDG11"
Design and Implementation of Smart Trip Planner,"[{""Penulis"":""Osmond, Andrew B.""},{""Penulis"":""Supangkat, Suhono H.""},{""Penulis"":""Hidayat, Fadhil""}]",Pemanfaatan Teknologi Informasi dalam Pariwisata memiliki potensi untuk meningkatkan kualitas layanan bagi para pemain industri pariwisata dan pariwisata dalam meningkatkan jumlah pendapatan untuk wilayah yang tren pariwisata kini telah bergeser ke arah digital atau yang disebut pariwisata pariwisata ditujukan untuk wisatawan milenial dengan banyakTarget Pertumbuhan Tren pariwisata ini ditandai oleh perubahan perilaku wisata yang cenderung independen dan individual melalui teknologi digital perilaku konsumen mulai berubah dalam arah pribadi dan interaktif yang semakin mobile dalam makalah ini kami mengusulkan perencana perjalanan pintar untuk mendukung pelancong independen untuk memfasilitasi untuk memfasilitasirencana perjalanan mereka secara otomatis,"1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0","SDG1,SDG11"
Approximating earthquake source of Italy using Steepest Descent method,"[{""Penulis"":""Aziz F.A.""},{""Penulis"":""Gunawan P.H.""}]","Makalah ini menjelaskan perbandingan metode Newton dan metode keturunan paling curam untuk menentukan koordinat sumber gempa di sini metode keturunan paling curam digunakan karena merupakan metode berbasis Newton, kasus gempa yang digunakan dalam penelitian ini adalah gempa bumi Italia yang memiliki fase seismik seismikPG Perhitungan didukung oleh persamaan koordinat azimuth untuk menemukan koordinat dan formula haversine untuk menemukan jarak antara lima stasiun gempa bumi ke sumber gempa bumi. Hasil akhir perhitungan adalah grafik jalur dari iterasi metode keturunan curam terlebih lagi hasilnya akan terjadiDibandingkan dengan hasil metode Newton yang telah SUCCE sepenuhnya mendekati titik sumber gempa dalam studi kasus yang sama dari penelitian sebelumnya, hasilnya menunjukkan jumlah iterasi akhir dari dua metode menggunakan angka toleransi nomor kecepatan minimum m dan tiga kasus awalGue dalam bentuk koordinat kota dari metode Roma Milan dan Palermo Newton menghasilkan iterasi dalam setiap kasus metode keturunan paling curam menghasilkan iterasi masing -masing namun kesalahan numerik akhir untuk Roma Milan dan Palermo awal Gue adalah dengan metode Newton sementara metode keturunan curam adalah dan diterbitkan.di bawah lisensi oleh IOP Publishing Ltd","1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0","SDG1,SDG11"
Labor Market and Household Debt in Asia Pacific Countries: Dynamic Heterogeneous Panel Data Analysis,"[{""Penulis"":""Kusairi, Suhal""},{""Penulis"":""Muhamad, Suriyani""},{""Penulis"":""Musdholifah, M""},{""Penulis"":""Chang, Shu-Chen""}]","Peningkatan utang rumah tangga yang luar biasa dalam dekade terakhir telah menggerakkan para peneliti untuk mengeksplorasi faktor penentu fenomena ini terutama peran pasar tenaga kerja yang diketahui makalah ini datang untuk mengidentifikasi penentu ini menggunakan data panel makro dari negara -negara Asia Pasifik untuk dan analisis data panel heterogen yang dinamis yang dinamis heterogen yang dinamis.Hasil empiris menemukan bahwa indeks harga perumahan konsumsi rumah tangga dan angkatan kerja memiliki hubungan positif jangka panjang dengan utang rumah tangga sebaliknya, tingkat pengangguran dan rasio ketergantungan memiliki hubungan negatif yang panjang dengan utang rumah tangga ini menyiratkan bahwa ketika harga perumahan konsumsi dan kenaikan tenaga kerja tenaga kerja kenaikanthen the household debt will increase  and when the unemployment rate and dependency ratio increase  the household debt will decrease  also  in the short run  public debt does affect private consumption  and it is not different among countries  the labor market  as represented by the unemployment rate  dependency ratio  andangkatan kerja memiliki efek kuat pada utang rumah tangga dalam jangka panjang berdasarkan temuan ini, pemerintah harus lebih memperhatikan utang rumah tangga terkait dengan pasar properti dan komoditas karena mereka mengekspos volatilitas jangka pendek dan menciptakan masalah untuk dunia jangka panjang ilmiah.perusahaan penerbit","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0",SDG8
Detection of Fire with Image Processing using Backpropagation Method,"[{""Penulis"":""Iqbal, Muhammad""},{""Penulis"":""Irawan, Budhi""},{""Penulis"":""Setianingsih, Casi""}]","Api adalah peristiwa bencana alam yang sangat merugikan alam dan sekelompok orang kebakaran dapat disebabkan oleh aktivitas manusia karena pengabaian manusia sendiri dari kebakaran di Indonesia yaitu kebakaran besar di hutan Riau menyebabkan negara -negara tetangga seperti Malaysia Singapura keMenerima Pengiriman Asap dari Indonesia Karena Kebakaran Hutan di Indonesia Ada banyak insiden kebakaran dengan tempat -tempat yang cukup ramai seperti kantor -kantor pasar berbagai cara untuk mencegah kebakaran masih digunakan seperti alarm alarm alarm sensor dan pencegahan lainnya adalah rata -rata manual masih manualAtau teknologi yang digunakan adalah canggih sensor sudah cukup untuk memberi tahu sistem alarm tetapi kerusakan pada sensor tidak akan terlihat oleh kepala manusia yang menunjukkan bahwa sensor bukan alat pencegahan kebakaran yang cukup efektif penulis menyimpulkan bahwa lemahnya lemahdari sistem keamanan dari pencegahan kebakaran itu sendiri dalam hal ini, sistem deteksi kebakaran akan dirancang, sensor masih digunakan hanya perangkat webcam kamera yang ditambahkan sebagai penggunaan keamanan digital yang efisien sistem kebakaran ini menggunakan metode backpropagation yang digunakan untuk melakukan pengenalan objek danPola Kebakaran Sistem ini dapat meningkatkan keamanan dalam pencegahan kebakaran, output dari proyek akhir ini adalah pemberitahuan yang akan dikirim oleh sistem deteksi untuk menembak di media sosial dalam bentuk telegram kepada pengguna sistem deteksi kebakaran yang dibuat memiliki tingkat akurasidari dan akurasi realtime mendapat IEEE","1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1","SDG1,SDG11,SDG17"
